area,bedrooms,bathrooms,stories,guestroom,basement,hotwater,aircond,parking,prefarea,furnish,price
4300,3,2,2,0,1,0,0,1,0,0,745500
7440,3,2,1,1,1,0,1,0,1,1,742000
7440,3,2,4,0,0,0,0,1,1,0,742000
6325,3,1,4,0,0,0,1,1,0,0,742000
6000,4,2,4,1,0,0,1,1,0,1,735000
5150,3,2,4,0,0,0,1,2,0,1,735000
6000,3,2,2,1,0,0,1,1,0,1,735000
6000,3,1,2,0,0,0,1,1,0,0,735000
11440,4,1,2,0,1,0,0,1,1,1,734300
9000,4,2,4,1,0,0,1,1,1,1,724500
7680,4,2,4,1,0,0,1,1,0,1,721000
6000,3,2,4,1,0,0,1,1,0,1,721000
6000,3,2,2,1,0,0,0,1,0,1,714000
8880,2,1,1,0,0,0,1,1,0,1,707000
6240,4,2,2,0,0,0,1,1,0,1,707000
6360,4,2,3,0,0,0,1,2,1,1,703500
11175,3,1,1,0,1,0,1,1,1,1,700000
8880,3,2,2,0,1,0,1,1,0,1,693000
13200,2,1,1,0,1,1,0,1,0,1,693000
7700,3,2,1,0,0,0,0,2,0,0,689500
6000,3,1,1,0,0,0,1,1,0,1,686000
12090,4,2,2,0,0,0,0,2,1,1,679000
4000,3,2,2,0,1,0,1,0,1,1,679000
6000,4,2,4,0,0,0,1,0,0,0,675500
5020,3,1,4,0,0,0,1,0,1,0,672000
6600,2,2,4,0,1,0,0,0,1,1,668500
4040,3,1,2,0,1,1,0,1,0,1,665000
4260,4,2,2,0,0,1,0,0,0,1,665000
6420,3,2,3,0,0,0,1,0,1,1,665000
6500,3,2,3,0,0,0,1,0,1,1,665000
5700,3,1,1,1,1,0,1,2,1,1,665000
6000,3,2,3,1,0,0,1,0,0,1,665000
6000,3,1,2,0,0,1,0,1,1,1,662900
4000,3,2,2,0,1,0,1,1,0,1,661500
10500,3,2,1,0,1,0,1,1,1,1,661500
6000,3,2,4,0,0,0,1,0,0,1,658000
3760,3,1,2,0,0,1,0,2,0,1,651000
8250,3,2,3,0,0,0,1,0,0,1,651000
6670,3,1,3,0,1,0,0,0,1,0,651000
3960,3,1,1,0,1,0,0,2,0,1,647500
7410,3,1,1,1,1,0,1,2,1,0,647500
8580,5,3,2,0,0,0,0,2,0,1,644000
5000,3,1,2,0,0,0,1,0,0,1,644000
6750,2,1,1,1,1,0,0,2,1,1,641900
4800,3,2,4,1,0,0,1,0,0,1,640500
7200,3,2,1,0,1,0,1,3,0,1,630000
6000,4,2,4,0,0,0,0,1,0,1,630000
4100,3,2,3,0,0,0,1,2,0,1,630000
9000,3,1,1,0,1,0,0,1,1,1,630000
6400,3,1,1,1,1,0,1,1,1,1,630000
6600,3,2,3,0,0,0,1,0,1,0,629300
6000,4,1,3,1,1,0,0,0,1,0,626500
6600,3,2,1,0,1,0,1,0,1,0,623000
5500,3,1,3,0,0,0,0,1,1,0,623000
5500,3,2,4,1,0,0,1,1,0,1,619500
6350,3,2,3,1,0,0,1,0,0,1,619500
5500,3,2,1,1,1,0,0,2,1,1,619500
4500,3,1,4,0,0,0,1,0,0,0,616000
5450,4,2,1,0,1,0,1,0,1,1,616000
6420,3,1,3,0,1,0,0,0,1,0,612500
3240,4,1,3,0,0,0,0,1,0,1,610750
6615,4,2,2,1,0,1,0,1,0,1,609000
6600,3,1,1,1,1,0,0,2,1,1,609000
8372,3,1,3,0,0,0,1,2,0,0,609000
4300,6,2,2,0,0,0,0,0,0,1,608300
9620,3,1,1,0,1,0,0,2,1,1,608300
6800,2,1,1,1,1,0,0,2,0,1,602000
8000,3,1,1,1,1,0,1,2,1,1,602000
6900,3,2,1,1,1,0,0,0,1,0,602000
3700,4,1,2,1,0,0,1,0,0,1,595000
6420,3,1,1,0,1,0,1,0,1,1,595000
7020,3,1,1,0,1,0,1,2,1,1,595000
6540,3,1,1,1,1,0,0,2,1,1,595000
7231,3,1,2,1,1,0,1,0,1,1,595000
6254,4,2,1,0,1,0,0,1,1,1,595000
7320,4,2,2,0,0,0,0,0,0,1,595000
6525,3,2,4,0,0,0,0,1,0,1,595000
15600,3,1,1,0,0,0,1,2,0,1,594300
7160,3,1,1,0,1,0,0,2,1,0,588000
6500,3,2,3,0,0,0,1,0,0,0,588000
5500,3,1,3,1,0,0,1,1,0,1,587300
11460,3,1,3,0,0,0,0,2,1,1,587300
4800,3,1,1,1,1,0,0,0,0,0,586600
5828,4,1,4,1,0,0,0,0,0,1,581000
5200,3,1,3,0,0,0,1,0,0,1,581000
4800,3,1,3,0,0,0,1,0,0,0,581000
7000,3,1,1,0,1,0,0,2,1,1,580300
6000,3,2,4,0,0,0,1,0,0,0,577500
5400,4,2,2,0,0,0,1,2,0,0,574000
4640,4,1,2,0,0,0,0,1,0,1,574000
5000,3,1,3,0,0,0,1,0,0,1,574000
6360,3,1,1,1,1,0,1,2,1,1,574000
5800,3,2,4,0,0,0,1,0,0,0,574000
6660,4,2,2,1,1,0,0,1,1,1,565250
10500,4,2,2,0,0,0,0,1,0,1,560000
4800,5,2,3,0,1,1,0,0,0,0,560000
4700,4,1,2,1,1,0,1,1,0,1,560000
5000,3,1,4,0,0,0,0,0,0,1,560000
10500,2,1,1,0,0,0,0,1,0,1,560000
5500,3,2,2,0,0,0,0,1,0,1,560000
6360,3,1,3,0,0,0,0,0,1,1,560000
6600,4,2,1,0,1,0,0,0,1,1,560000
5136,3,1,2,1,1,0,1,0,1,0,560000
4400,4,1,2,0,0,0,1,2,1,1,556500
5400,5,1,2,1,1,0,1,0,1,1,556500
3300,3,3,2,0,1,0,0,0,0,1,553000
3650,3,2,2,0,0,0,0,2,0,1,553000
6100,3,2,1,0,1,0,0,2,1,1,553000
6900,3,1,1,1,1,0,0,0,1,1,552300
2817,4,2,2,1,1,0,0,1,0,1,549500
7980,3,1,1,0,0,0,0,2,0,1,549500
3150,3,2,1,1,1,0,1,0,0,1,546000
6210,4,1,4,1,0,0,1,0,0,1,546000
6100,3,1,3,1,0,0,1,0,1,1,546000
6600,4,2,2,1,1,0,0,0,1,1,546000
6825,3,1,1,1,1,0,1,0,1,1,542500
6710,3,2,2,1,1,0,0,1,1,1,539000
6450,3,2,1,1,1,1,0,0,0,0,538300
7800,3,1,1,0,1,0,1,2,1,0,532000
4600,2,2,1,0,0,0,1,2,0,1,528500
4260,4,1,2,0,1,0,1,0,0,1,525000
6540,4,2,2,0,0,0,1,0,0,1,525000
5500,3,2,1,0,1,0,0,0,0,1,525000
10269,3,1,1,0,0,0,0,1,1,1,525000
8400,3,1,2,1,1,0,1,2,1,0,525000
5300,4,2,1,0,0,0,1,0,1,0,525000
3800,3,1,2,1,1,0,0,1,1,0,525000
9800,4,2,2,1,0,0,0,2,0,1,525000
8520,3,1,1,0,0,0,1,2,0,1,525000
6050,3,1,1,0,1,0,0,0,1,1,524300
7085,3,1,1,1,1,0,0,2,1,1,522900
3180,3,2,2,0,0,0,0,2,0,1,521500
4500,4,2,1,0,1,0,1,2,0,1,521500
7200,3,1,2,1,1,0,0,1,1,1,521500
3410,3,1,2,0,0,0,1,0,0,1,514500
7980,3,1,1,0,0,0,0,1,1,1,514500
3000,3,2,2,1,1,0,0,0,0,1,511000
3000,3,1,2,0,1,0,0,0,0,0,511000
11410,2,1,2,0,0,0,0,0,1,1,511000
6100,3,1,1,0,1,0,1,0,1,1,511000
5720,2,1,2,0,0,0,1,0,1,0,507500
3540,2,1,1,1,1,0,0,0,0,1,504000
7600,4,1,2,0,0,0,1,2,0,1,504000
10700,3,1,2,1,1,0,0,0,0,1,504000
6600,3,1,1,1,1,0,0,0,1,1,504000
4800,2,1,1,1,1,0,0,0,0,1,503300
8150,3,2,1,1,1,0,0,0,0,1,500500
4410,4,3,2,0,1,0,0,2,0,1,497000
7686,3,1,1,1,1,1,0,0,0,1,497000
2800,3,2,2,0,1,0,1,1,0,1,495600
5948,3,1,2,0,0,0,1,0,0,1,493500
4200,3,1,2,0,0,0,0,1,0,1,490700
4520,3,1,2,0,1,0,1,0,0,1,490000
4095,3,1,2,1,1,0,1,0,0,1,490000
4120,2,1,1,0,1,0,0,1,0,1,490000
5400,4,1,2,0,0,0,0,0,0,1,490000
4770,3,1,1,1,1,0,0,0,0,1,490000
6300,3,1,1,0,0,0,1,2,0,1,490000
5800,2,1,1,1,1,0,1,0,0,1,490000
3000,3,1,2,0,1,0,1,0,0,1,490000
2970,3,1,3,0,0,0,0,0,0,1,490000
6720,3,1,1,0,0,0,0,0,0,0,490000
4646,3,1,2,1,1,0,0,2,0,1,490000
12900,3,1,1,0,0,0,0,2,0,1,490000
3420,4,2,2,0,1,0,1,2,0,1,489300
4995,4,2,1,0,1,0,0,0,0,1,489300
4350,2,1,1,0,1,0,0,0,0,0,486500
4160,3,1,3,0,0,0,0,0,0,0,483000
6040,3,1,1,0,0,0,0,2,1,1,483000
6862,3,1,2,0,0,0,1,2,1,1,483000
4815,2,1,1,0,0,0,1,0,1,1,483000
7000,3,1,2,0,1,0,0,0,0,0,479500
8100,4,1,4,0,1,0,1,2,0,1,479500
3420,4,2,2,0,0,0,0,0,0,1,476700
9166,2,1,1,0,1,0,1,2,0,1,476000
6321,3,1,2,0,1,0,1,1,0,1,476000
10240,2,1,1,0,0,0,1,2,1,0,476000
6440,2,1,1,0,0,0,1,3,0,1,475300
5170,3,1,4,0,0,0,1,0,0,1,469000
6000,2,1,1,0,1,0,1,1,0,1,469000
3630,3,1,2,0,0,0,0,2,0,1,469000
9667,4,2,2,1,1,0,0,1,0,1,469000
5400,2,1,2,0,0,0,0,0,1,1,469000
4320,3,1,1,0,0,0,0,0,1,1,469000
3745,3,1,2,0,1,0,0,0,0,1,465500
4160,3,1,1,1,1,0,1,0,0,0,462000
3880,3,2,2,0,1,0,0,2,0,1,462000
5680,3,1,2,1,0,0,1,1,0,1,462000
2870,2,1,2,1,1,0,0,0,1,1,462000
5010,3,1,2,0,1,0,0,0,0,1,462000
4510,4,2,2,0,1,0,0,0,0,1,461300
4000,3,1,2,0,0,0,0,1,0,1,458500
3840,3,1,2,0,0,0,0,1,1,1,458500
3760,3,1,1,0,0,0,0,2,0,1,455000
3640,3,1,2,0,0,0,1,0,0,1,455000
2550,3,1,2,0,1,0,0,0,0,1,455000
5320,3,1,2,1,1,0,0,0,1,1,455000
5360,3,1,2,0,0,0,0,2,1,0,455000
3520,3,1,1,0,0,0,0,0,1,1,455000
8400,4,1,4,0,0,0,0,3,0,0,455000
4100,2,2,1,1,1,0,0,0,0,1,454300
4990,4,2,2,1,1,0,0,0,1,1,454300
3510,3,1,3,0,0,0,0,0,0,1,451500
3450,3,1,2,0,1,0,0,1,0,1,451500
9860,3,1,1,0,0,0,0,0,0,1,451500
3520,2,1,2,0,0,0,0,0,1,1,451500
4510,4,1,2,0,0,0,1,2,0,1,448000
5885,2,1,1,0,0,0,1,1,0,0,448000
4000,3,1,2,0,0,0,0,2,0,1,448000
8250,3,1,1,0,0,0,0,0,0,1,448000
4040,3,1,2,0,0,0,0,1,0,1,448000
6360,2,1,1,0,1,0,1,1,0,1,447300
3162,3,1,2,0,0,0,1,1,0,1,447300
3510,3,1,2,0,0,0,0,0,0,1,447300
3750,2,1,1,1,1,0,0,0,0,1,444500
3968,3,1,2,0,0,0,0,0,0,1,441000
4900,2,1,2,0,1,0,0,0,0,1,441000
2880,3,1,2,0,0,0,0,0,1,1,440300
4880,3,1,1,0,0,0,0,2,1,0,440300
4920,3,1,2,0,0,0,0,1,0,1,440300
4950,4,1,2,0,0,0,1,0,0,1,438200
3900,3,1,2,0,0,0,0,0,0,0,437500
4500,3,2,3,0,0,1,0,1,0,1,434000
1905,5,1,2,0,1,0,0,0,0,1,434000
4075,3,1,1,1,1,0,0,2,0,1,434000
3500,4,1,2,0,0,0,0,2,0,1,434000
6450,4,1,2,0,0,0,0,0,0,1,434000
4032,2,1,1,0,1,0,0,0,0,1,431900
4400,2,1,1,0,0,0,0,1,0,1,430500
10360,2,1,1,0,0,0,0,1,1,1,430500
3400,3,1,2,0,1,0,0,2,1,1,427700
6360,2,1,1,0,0,0,0,0,0,1,427000
6360,2,1,2,0,0,0,0,0,0,0,427000
4500,2,1,1,0,0,0,1,2,0,1,427000
2175,3,1,2,1,1,0,1,0,0,0,427000
4360,4,1,2,0,0,0,0,0,0,1,427000
7770,2,1,1,0,0,0,0,1,0,1,427000
6650,3,1,2,1,0,0,0,0,0,1,423500
2787,3,1,1,0,1,0,0,0,1,1,423500
5500,3,1,2,0,0,0,1,0,0,0,420000
5040,3,1,2,0,1,0,1,0,0,0,420000
5850,2,1,1,1,1,0,0,2,0,1,420000
2610,4,3,2,0,0,0,0,0,0,1,420000
2953,3,1,2,0,1,0,1,0,0,0,420000
2747,4,2,2,0,0,0,0,0,0,1,420000
4410,2,1,1,0,0,0,0,1,0,0,420000
4000,4,2,2,0,0,0,0,0,0,1,420000
2325,3,1,2,0,0,0,0,0,0,1,420000
4600,3,2,2,0,0,0,1,1,0,1,420000
3640,3,2,2,0,1,0,0,0,0,0,420000
5800,3,1,1,0,0,1,0,2,0,1,420000
7000,3,1,1,0,0,0,0,3,0,1,420000
4079,3,1,3,0,0,0,0,0,0,1,420000
3520,3,1,2,0,0,0,0,0,1,1,420000
2145,3,1,3,0,0,0,0,1,1,0,420000
4500,3,1,1,0,1,0,0,0,0,1,420000
8250,3,1,1,0,1,0,0,3,0,1,419300
3450,3,1,2,0,0,0,0,1,0,1,419300
4840,3,1,2,0,0,0,0,1,0,1,416500
4080,3,1,2,0,0,0,0,2,0,1,416500
4046,3,1,2,0,1,0,0,1,0,1,416500
4632,4,1,2,0,0,0,1,0,0,1,413000
5985,3,1,1,0,1,0,0,0,0,1,413000
6060,2,1,1,0,1,0,0,1,0,1,412300
3600,3,1,1,0,1,0,1,0,1,1,409850
3680,3,2,2,0,0,0,0,0,0,1,409500
4040,2,1,2,0,0,0,0,1,0,1,409500
5600,2,1,1,0,0,0,1,0,0,1,409500
5900,4,2,2,0,1,0,0,1,0,0,406000
4992,3,2,2,0,0,0,0,2,0,0,406000
4340,3,1,1,0,0,0,0,0,0,1,406000
3000,4,1,3,0,1,0,1,2,0,1,406000
4320,3,1,2,0,0,0,0,2,1,1,406000
3630,3,2,2,0,0,1,0,2,0,1,402500
3460,3,2,1,0,1,0,1,1,0,1,402500
5400,3,1,1,0,0,0,0,3,0,1,402500
4500,3,1,2,0,1,0,1,0,0,1,400750
3460,4,1,2,0,0,0,1,0,0,1,400750
4100,4,1,1,0,1,0,0,0,0,0,399000
6480,3,1,2,0,0,0,1,1,0,1,399000
4500,3,2,2,0,1,0,1,0,0,1,399000
3960,3,1,2,0,0,0,0,0,0,1,399000
4050,2,1,2,1,1,0,0,0,1,0,399000
7260,3,2,1,1,1,0,0,3,0,1,392000
5500,4,1,2,1,1,0,0,0,0,1,392000
3000,3,1,2,0,0,0,0,0,0,1,392000
3290,2,1,1,0,0,1,0,1,0,1,392000
3816,2,1,1,0,1,0,1,2,0,1,392000
8080,3,1,1,0,0,0,1,2,0,1,392000
2145,4,2,1,0,1,0,0,0,1,0,392000
3780,2,1,2,1,1,0,0,0,0,1,388500
3180,4,2,2,0,0,0,0,0,0,1,388500
5300,5,2,2,0,0,0,0,0,0,1,385000
3180,2,2,1,0,1,0,0,2,0,1,385000
7152,3,1,2,0,0,0,1,0,0,1,385000
4080,2,1,1,0,0,0,0,0,0,1,385000
3850,2,1,1,0,0,0,0,0,0,1,385000
2015,3,1,2,0,1,0,0,0,1,1,385000
2176,2,1,2,1,0,0,0,0,1,1,385000
3350,3,1,2,0,0,0,0,0,0,0,383600
3150,2,2,1,0,1,0,0,0,0,1,381500
4820,3,1,2,0,0,0,0,0,0,1,378000
3420,2,1,2,0,0,1,0,1,0,1,378000
3600,2,1,1,0,0,0,0,0,0,1,378000
5830,2,1,1,0,0,0,0,2,0,0,378000
2856,3,1,3,0,0,0,0,0,1,1,378000
8400,2,1,1,0,0,0,0,1,0,1,378000
8250,3,1,1,0,0,0,0,2,0,1,377300
2520,5,2,1,0,1,0,1,1,0,1,377300
6930,4,1,2,0,0,0,0,1,0,1,377300
3480,2,1,1,0,0,0,0,0,1,1,374500
3600,3,1,1,0,0,0,0,1,0,0,371000
4040,2,1,1,0,0,0,0,0,0,1,371000
6020,3,1,1,0,0,0,0,0,0,1,371000
4050,2,1,1,0,0,0,0,0,0,1,371000
3584,2,1,1,0,0,1,0,0,0,1,371000
3120,3,1,2,0,1,1,0,0,0,1,370300
5450,2,1,1,0,0,0,0,0,0,1,370300
3630,2,1,1,0,1,0,0,0,0,1,367500
3630,2,1,1,0,0,0,1,0,0,0,367500
5640,2,1,1,0,0,0,0,0,0,1,367500
3600,2,1,1,0,0,0,0,0,0,1,367500
4280,2,1,1,0,0,0,1,2,0,1,364000
3570,3,1,2,0,1,0,0,0,0,1,364000
3180,3,1,2,0,1,0,0,0,0,1,364000
3000,2,1,2,0,0,0,1,0,0,1,364000
3520,2,2,1,0,1,0,0,0,0,1,364000
5960,3,1,2,1,1,0,0,0,0,0,364000
4130,3,2,2,0,0,0,0,2,0,1,364000
2850,3,2,2,0,1,0,0,0,1,0,364000
2275,3,1,3,0,0,1,1,0,1,1,364000
3520,3,1,1,0,0,0,0,2,1,0,363300
4500,2,1,1,0,0,0,0,0,0,1,360500
4000,2,1,1,0,0,0,0,0,1,1,360500
3150,3,1,2,0,1,0,0,0,0,1,357000
4500,4,2,2,0,1,0,0,2,0,1,357000
4500,2,1,1,0,0,0,0,0,0,1,357000
3640,2,1,1,0,0,0,0,0,0,0,357000
3850,3,1,1,0,0,0,0,2,0,0,353500
4240,3,1,2,0,0,0,1,0,0,1,350000
3650,3,1,2,0,0,0,0,0,0,0,350000
4600,4,1,2,0,0,0,0,0,0,1,350000
2135,3,2,2,0,0,0,0,0,0,0,350000
3036,3,1,2,0,1,0,0,0,0,1,350000
3990,3,1,2,0,0,0,0,0,0,1,350000
7424,3,1,1,0,0,0,0,0,0,0,350000
3480,3,1,1,0,0,0,1,0,0,0,350000
3600,6,1,2,0,0,0,0,1,0,0,350000
3640,2,1,1,0,0,0,0,1,0,1,350000
5900,2,1,1,0,0,0,0,1,0,1,350000
3120,3,1,2,0,0,0,0,1,0,0,350000
7350,2,1,1,0,0,0,0,1,0,1,350000
3512,2,1,1,0,0,0,0,1,1,0,350000
9500,3,1,2,0,0,0,0,3,1,0,350000
5880,2,1,1,0,0,0,0,0,0,0,350000
12944,3,1,1,0,0,0,0,0,0,0,350000
4900,3,1,2,0,0,0,0,0,0,0,349300
3060,3,1,1,0,0,0,0,0,0,0,346500
5320,2,1,1,0,0,0,0,1,1,0,346500
2145,3,1,3,0,0,0,0,0,1,1,346500
4000,2,1,1,0,0,0,0,0,0,0,343000
3185,2,1,1,0,0,0,0,2,0,0,343000
3850,3,1,1,0,0,0,0,0,0,0,343000
2145,3,1,3,0,0,0,0,0,1,1,343000
2610,3,1,2,0,1,0,0,0,1,0,343000
1950,3,2,2,0,1,0,0,0,1,0,343000
4040,2,1,1,0,0,0,0,0,0,0,342300
4785,3,1,2,1,1,0,1,1,0,1,339500
3450,3,1,1,0,1,0,0,2,0,0,339500
3640,2,1,1,0,0,0,0,0,0,1,339500
3500,4,1,2,0,0,0,1,2,0,0,336000
4960,4,1,3,0,0,0,0,0,0,1,336000
4120,2,1,2,0,0,0,0,0,0,0,336000
4750,2,1,1,0,0,0,0,0,0,0,336000
3720,2,1,1,0,0,0,1,0,0,0,336000
3750,3,1,1,0,0,0,0,0,0,0,336000
3100,3,1,2,0,1,0,0,0,0,1,336000
3185,2,1,1,0,1,0,0,2,0,1,336000
2700,3,1,1,0,0,0,0,0,0,1,335300
2145,3,1,2,0,1,0,0,0,1,1,333200
4040,2,1,1,0,0,0,0,1,0,0,332500
4775,4,1,2,0,0,0,0,0,0,0,332500
2500,2,1,1,0,0,0,1,0,0,0,329000
3180,4,1,2,0,1,0,1,0,0,0,329000
6060,3,1,1,1,1,0,0,0,0,1,329000
3480,4,1,2,0,0,0,0,1,0,1,329000
3792,4,1,2,0,0,0,0,0,0,1,329000
4040,2,1,1,0,0,0,0,0,0,0,329000
2145,3,1,2,0,1,0,0,0,1,1,329000
5880,3,1,1,0,0,0,0,1,0,0,329000
4500,2,1,1,0,0,0,0,0,0,1,325500
3930,2,1,1,0,0,0,0,0,0,0,325500
3640,4,1,2,0,1,0,0,0,0,0,323400
4370,3,1,2,0,0,0,0,0,0,0,322000
2684,2,1,1,0,0,0,1,1,0,0,322000
4320,3,1,1,0,0,0,0,1,0,0,322000
3120,3,1,2,0,0,0,0,0,0,1,322000
3450,1,1,1,0,0,0,0,0,0,1,315000
3986,2,2,1,1,1,0,0,1,0,0,315000
3500,2,1,1,0,1,0,0,0,0,1,315000
4095,2,1,1,0,0,0,0,2,0,1,315000
1650,3,1,2,0,1,0,0,0,0,0,315000
3450,3,1,2,0,1,0,0,0,0,1,315000
6750,2,1,1,0,0,0,0,0,0,1,315000
9000,3,1,2,0,0,0,0,2,0,1,315000
3069,2,1,1,0,0,0,0,1,0,0,315000
4500,3,1,2,0,0,0,1,0,0,0,314300
5495,3,1,1,0,1,0,0,0,0,0,312900
2398,3,1,1,0,0,0,0,0,1,1,311885
3000,3,1,1,0,0,0,1,0,0,0,311500
3850,3,1,2,0,0,0,0,0,0,0,311500
3500,2,1,1,0,0,0,0,0,0,0,311500
8100,2,1,1,0,0,0,0,1,0,0,308700
4960,2,1,1,0,1,0,1,0,0,0,308000
2160,3,1,2,0,1,0,0,0,0,1,308000
3090,2,1,1,1,1,0,0,0,0,0,308000
4500,2,1,2,0,0,1,0,1,0,1,308000
3800,2,1,1,0,0,0,0,0,0,0,304500
3090,3,1,2,0,0,0,0,0,0,1,301000
3240,3,1,2,0,0,0,0,2,0,1,301000
2835,2,1,1,0,0,0,0,0,0,1,301000
4600,2,1,1,0,0,0,0,0,0,1,301000
5076,3,1,1,0,0,0,0,0,0,0,301000
3750,3,1,2,0,0,0,0,0,0,0,301000
3630,4,1,2,0,0,0,0,3,0,1,301000
8050,2,1,1,0,0,0,0,0,0,0,300300
4352,4,1,2,0,0,0,0,1,0,0,297500
3000,2,1,2,0,0,0,0,0,0,1,296100
5850,3,1,2,0,1,0,0,1,0,0,294000
4960,2,1,1,0,0,0,0,0,0,0,294000
3600,3,1,2,0,0,0,0,1,0,0,294000
3660,4,1,2,0,0,0,0,0,0,0,294000
3480,3,1,2,0,0,0,0,1,0,1,294000
2700,2,1,1,0,0,0,0,0,0,1,294000
3150,3,1,2,0,0,0,0,0,0,0,294000
6615,3,1,2,0,0,0,0,0,0,1,294000
3040,2,1,1,0,0,0,0,0,0,0,287000
3630,2,1,1,0,0,0,0,0,0,0,287000
6000,2,1,1,0,0,0,0,0,0,1,287000
5400,4,1,2,0,0,0,0,0,0,0,287000
5200,4,1,3,0,0,0,0,0,0,0,285250
3300,3,1,2,0,0,0,0,1,0,1,283500
4350,3,1,2,0,0,1,0,1,0,0,283500
2640,2,1,1,0,0,0,0,1,0,1,283500
2650,3,1,2,0,1,0,0,1,0,0,280000
3960,3,1,1,0,0,0,0,0,0,1,280000
6800,2,1,1,0,0,0,0,0,0,0,273000
4000,3,1,2,0,0,0,0,1,0,0,273000
4000,2,1,1,0,0,0,0,0,0,0,269500
3934,2,1,1,0,0,0,0,0,0,0,266000
2000,2,1,2,0,0,0,0,0,0,1,266000
3630,3,3,2,1,0,0,0,0,0,0,266000
2800,3,1,1,0,0,0,0,0,0,0,266000
2430,3,1,1,0,0,0,0,0,0,0,266000
3480,2,1,1,0,0,0,0,1,0,1,266000
4000,3,1,1,0,0,0,0,0,0,1,266000
3185,2,1,1,0,0,0,1,0,0,0,265300
4000,3,1,2,0,0,0,1,0,0,0,265300
2910,2,1,1,0,0,0,0,0,0,0,260400
3600,2,1,1,0,0,0,0,0,0,0,259000
4400,2,1,1,0,0,0,0,0,0,0,259000
3600,2,2,2,0,1,0,0,1,0,1,259000
2880,3,1,1,0,0,0,0,0,0,0,252000
3180,3,1,1,0,0,0,0,0,0,0,252000
3000,2,1,2,0,0,0,0,0,0,1,252000
4400,3,1,2,0,0,0,0,0,0,0,248500
3000,3,1,2,0,0,0,0,0,0,1,248500
3210,3,1,2,0,1,0,0,0,0,0,245000
3240,2,1,1,1,0,0,0,1,0,0,245000
3000,2,1,1,0,0,0,0,1,0,0,245000
3500,2,1,1,1,0,0,0,0,0,0,245000
4840,2,1,2,0,0,0,0,0,0,0,245000
7700,2,1,1,0,0,0,0,0,0,0,245000
3635,2,1,1,0,0,0,0,0,0,0,240800
2475,3,1,2,0,0,0,0,0,0,1,238000
2787,4,2,2,0,0,0,0,0,0,1,238000
3264,2,1,1,0,0,0,0,0,0,0,238000
3640,2,1,1,0,0,0,0,0,0,0,234500
3180,2,1,1,0,0,0,0,0,0,0,231000
1836,2,1,1,0,1,0,0,0,0,1,227500
3970,1,1,1,0,0,0,0,0,0,0,227500
3970,3,1,2,0,1,0,0,0,0,0,227500
1950,3,1,1,0,0,1,0,0,0,0,224000
5300,3,1,1,0,0,0,1,0,1,0,223300
3000,2,1,1,0,0,0,0,0,0,0,213500
2400,3,1,2,0,0,0,0,0,0,0,210000
